group,entity,sentence,span1L,span1R
literal,U.S.,iss says agreed sale of u .s . unit .,5.0,7.0
literal,Nevada,"santa fe has mining and exploration operations in nevada , california , montana , canada , brazil , australia , chile , kazakstan , mexico and ghana .",8.0,9.0
literal,New Zealand,"tsang , who made the remarks during a visit to new zealand , also spoke strongly in favour of keeping the hong kong dollar pegged to its u .s . counterpart , and said negotiations with china on next year's budget were going smoothly .",10.0,12.0
literal,Guam,"such bills had been enacted in 10 instances -the states of utah , north dakota , pennsylvania , mississippi , louisiana , south carolina , nebraska , west virginia and michigan , and the territory of guam .",36.0,37.0
metonymic,Jordan,jordan expels iraqi diplomat .,0.0,1.0
literal,Iraq,the men have claimed political asylum in britain saying they were persecuted while in iraq .,14.0,15.0
literal,Venezuela,"eight members of a family , five of them children aged between two and seven , drowned when their small boat sank on lake maracaibo in western venezuela early on monday , authorities said .",27.0,28.0
literal,U.S.,"while the data provided support for canadian bonds , both canadian and u .s . markets weakened after the release of strong u .s . economic data , including a report showing the chicago purchasing managers august index rose to 60 from 51 .2 in july .",12.0,14.0
literal,Amazon,brazil to use hovercrafts for amazon travel .,5.0,6.0
literal,Germany,i know they make wreaths just like you're meaning in germany f at easter .,10.0,11.0
literal,Yugoslavia,"south korea has told its overseas missions to step up security since its embassy in the former yugoslavia received a threat over seoul's crackdown on radical students , the foreign ministry said on tuesday .",17.0,18.0
literal,Karak,"armoured cars had patrolled streets in karak , traditional bastion of communist ideology and baath socialism that swept the region in the 1950s , and guarded entrances to the hill-top city famed for its crusader castle before the prayers .",6.0,7.0
metonymic,Scotland,"scotland : andrew goram , craig burley , thomas boyd , colin calderwood , colin hendry , thomas mckinley , duncan ferguson , stuart mccall , alistair mccoist ( gordon durie 75th ) , gary mcallister , john collins .",0.0,1.0
literal,Sivas,they told reporters a group of kurdistan workers party (pkk) guerrillas stopped the buses at a roadblock on the road linking the eastern provinces of erzincan and sivas on monday night and forced the passengers to get out .,27.0,28.0
literal,Afghanistan,"tajikistan , which borders afghanistan and china , has been split by a dragging four-year conflict after a civil war between communists and a frail coalition of islamic and liberal groups .",4.0,5.0
literal,Djibouti,"two men and a woman armed with grenades hijacked an ethiopian airlines boeing 727 airliner on a flight from dire dawa in eastern ethiopia to addis ababa , the capital , on sept . 4 and forced the pilot to land in djibouti [ for aug . 28 hijacking see p . 39042 ] .",42.0,43.0
metonymic,Croatia,"hina said it was the first time an orthodox church had been blown up in the zadar hinterland , where a large number of serbs lived before the 1991 war over croatia 's independence from the yugoslav federation .",31.0,32.0
literal,Costa Rica,quake shakes costa rica during hashimoto visit .,2.0,4.0
literal,Jakarta,he was responding to questions at a news conference called to discuss next week's ministerial meeting of the organisation of the islamic conference (oic) in jakarta .,25.0,26.0
literal,Russia,"russia 's military commander in chechnya began new talks with separatist chief-of-staff aslan maskhadov on tuesday , itar-tass news agency said .",0.0,1.0
literal,Umkomaas,"in another attack , also on the province's south coast on thursday night , two men were shot dead near umkomaas .",20.0,21.0
literal,Britain,"brilliant matthew woodcraft , 18 , was hailed as britain 's new superbrain yesterday .",9.0,10.0
metonymic,Greece,"the albanian daily koha jone reported earlier that greece had deported about 5 ,000 albanians in the last five days .",8.0,9.0
literal,Mexico,co-ordinated guerrilla attacks in two southern states overnight that left at least 13 people dead have caused nervousness in mexico 's financial markets .,19.0,20.0
literal,Canada,the agency also reported canada 's real gross domestic product rose a weaker-than-expected 0 .3 percent in the second quarter or 1 .3 percent at an annualized rate .,4.0,5.0
metonymic,Australia,relations between china and australia have been strained in recent weeks because of australia's plan to sell uranium to china's rival taiwan .,4.0,5.0
metonymic,Germany,"australia last won the davis cup in 1986 , but they were beaten finalists against germany three years ago under fraser's guidance .",15.0,16.0
literal,United States,"the rebels also reportedly received logistical support from the united states central intelligence agency (cia) and its pakistani counterpart , the inter services intelligence (isi) .",9.0,11.0
literal,Hong Kong,"an 88-year-old army veteran was jailed for 15 years by a hong kong court for drugs trafficking after he admitted he had stashed heroin under his mattress , a newspaper said on saturday .",11.0,13.0
metonymic,England,quarter-final results in the hong kong open on friday ( prefix number denotes seeding ) : 1 - jansher khan ( pakistan ) beat mark cairns ( england ) 15-10 15-6 15-7,27.0,28.0
literal,Armenia,"representatives from armenia and azerbaijan held talks earlier this week in germany on bringing a lasting peace to the disputed nagorno-karabakh region , a diplomatic source close to the talks said on friday .",2.0,3.0
literal,East Jerusalem,"israeli security forces have been pursuing bedouin palestinians living in the desolate wilderness between east jerusalem and the dead sea , where several jewish settlements have been established .",14.0,16.0
literal,Tuzla,marriner said that nato troops had set up a checkpoint on the road between tuzla and mahala to establish the identities and intentions of the men headed towards the village .,14.0,15.0
metonymic,Taipei,"state media quoted china's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks .",7.0,8.0
metonymic,Wall Street,"wall street had expected the company to earn $ 0 .17 a share in its fourth quarter , ended june 30 , according to first call .",0.0,2.0
literal,Afghanistan,"the salang highway , afghanistan 's main route to central asia , has been controlled by dostum since he began fighting president burhanuddin rabbani's government in kabul in january 1994 in alliance with hezb-i-islami party leader gulbuddin hekmatyar , then prime minister but rival to the president .",4.0,5.0
literal,U.S.,proponents of the plan discount the worries of the u .s . growers and say the plan has enough safeguards built into it to eliminate any significant threat to american producers .,9.0,11.0
literal,Czech Republic,czech republic 's havel to tour brazil in september .,0.0,2.0
literal,Valletta,"they said the body of amer hishem ali mohammed , 23 , was found in a pool of blood in sliema , seven km (four miles) from valletta , on wednesday morning .",27.0,28.0
metonymic,Reuters,""" i realise there are negative views in the markets about the impact of the consumption tax hike and drop in public spending , but the markets appear to be exaggerating the magnitude of the negative impact , "" a senior boj official told reuters on friday .",44.0,45.0
metonymic,Taiwan,"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . """,18.0,19.0
metonymic,Turkey,"brazilian-born luis oliveira then gleefully slipped the ball past goalkeeper rustu recber from the right of the area to make it 2-0 seven minutes before the interval , turkey 's best first-half effort proving to be a vicious 30-metre shot by ogun temizkanoglu which de wilde tipped over .",28.0,29.0
metonymic,Israel,"abu rdainah said arafat had decided against flying to the west bank on thursday , after israel lifted the ban , because he had a busy schedule in gaza and would not be free until monday .",16.0,17.0
literal,Dhaka,fox said he had brought up the issue at every meeting he had had with government leaders in dhaka .,18.0,19.0
literal,Abu Dhabi,"three afghan guards brought to the united arab emirates last week by russian hostages who escaped from the taleban militia will return to afghanistan in a few days , the afghan embassy in abu dhabi said on thursday .",33.0,35.0
metonymic,Chechnya,"lebed , who has arranged a military truce with separatist rebels in the southern russia region , was in moscow this week seeking support for a deal on chechnya 's political status .",28.0,29.0
literal,Mexico,"ponce said shares were certainly attractively priced in mexico , but would not appreciate until foreign buyers stepped in , which they had yet to do .'",8.0,9.0
literal,Ecuador,"men's singles , third round 13 - thomas enqvist (sweden) beat pablo campana (ecuador ) 6-4 6-4 6-2",13.0,14.0
metonymic,Taiwan,china says taiwan spoils atmosphere for talks .,2.0,3.0
metonymic,General Assembly,the security council has to vote on a new secretary-general and then seek the endorsement of the 185-members general assembly before december 31 when boutros-ghali's term expires .,18.0,20.0
literal,Israel,""" he developed techniques of guerilla warfare later copied by independence movements around the world , from mao tse-tung in china to yitzak shamir in israel , "" jordan said .",25.0,26.0
literal,Austria,"the fans , in austria to watch their team play rapid vienna last wednesday , may have been involved in a pub brawl earlier , the spokeswoman said .",4.0,5.0
literal,Jerusalem,"the palestinian letter from marwan jilani said the destruction of the jerusalem centre was an effort by israel to "" alter the character , demographic composition and status of the holy city of jerusalem "" and violated agreements between israel and the palestinian liberation organisation .",11.0,12.0
metonymic,USA,"during the talks , the usa reportedly agreed to cede control over clark and the four smaller installations , but differences remained over the future of subic bay .",5.0,6.0
metonymic,Leszic Betcher,"but in february 1993 leszic betcher , was shot and killed after answering a knock at the door of his sydney home . """,4.0,6.0
metonymic,Japan,- investment minister asif ali zardari expressed keenness for a close working relationship with japanese companies so that investment from japan can multiply .q,20.0,21.0
metonymic,South Africa,south africa beat new zealand 32-22 ( haltime 16-8 ) in the final test match of their three-test series at ellis park on saturday .,0.0,2.0
literal,Wall Street,"orders increased 1 .8 percent to a seasonally adjusted $ 317 .6 billion , significantly stronger than the 1 percent rise forecast by wall street economists .",23.0,25.0
metonymic,Britain,britain has not yet received any formal demand for the extradition of the demonstrators who threw bricks at the iranian embassy in london and smashed windows .,0.0,1.0
literal,United States of America,"after the egyptian leader , sadat , granted the united states rights to use certain of egyptian military facilities at the beginning of the 1980s , notably at ras banas on the red sea , soviet writers described his ` preparedness to allow military bases for the armed forces of the united states of america on his territory "" as being ` in violation of the basic principles of the non-aligned movement "" .",51.0,55.0
metonymic,Hong Kong,"china will resume sovereignty over hong kong , a british colony , in mid-1997 .",5.0,7.0
metonymic,Institute of Policy Studies,"derek da cunha , senior fellow at the institute of policy studies ( iseas ) , said singapore's hosting of the conference "" carries a great deal of symbolism for the city-state , underscoring its commitment to free trade and its trading links across the globe . """,8.0,12.0
literal,Curitiba,"they were due to leave spain monday night , arrive in sao paulo on tuesday morning , catch another plane to the southern city of curitiba one hour later and then play away to atletico paranaense in the brazilian championship the same evening .",25.0,26.0
literal,U.S. High Plains,"above-normal summer rainfall in the u .s . high plains has produced near-ideal conditions for planting the 1997 hard red winter wheat crop , analysts said wednesday .",5.0,10.0
literal,Yugoslavia,olympiakos of greece beat yugoslavia 's red star 71-57 (halftime 40-34) in the first match of an international club basketball tournament on wednesday .,4.0,5.0
metonymic,Turkey,belgium kicked off their 1998 world cup campaign with a hard-fought 2-1 victory over 10-man turkey in a tense match marred by turkish crowd trouble shortly after the break .,15.0,16.0
literal,Michoacan,"a group of heavily-armed men attacked a military convoy in the western mexican state of michoacan on friday , killing one soldier and wounding two , radio reports said .",15.0,16.0
metonymic,Japan,"japan , co-hosts of the world cup in 2002 and ranked 20th in the world by fifa , are favourites to regain their title here .",0.0,1.0
literal,Montana,montana weekly muni bond indices - piper jaffray .,0.0,1.0
metonymic,Israel,"the charges against lahd were : forming a hostile army , carrying weapons on israel 's side , helping israel strip off a part of lebanese territory by violence , forming an armed gang , killing or trying to kill lebanese civilians by artillery shelling and kidnapping lebanese citizens for long periods .",14.0,15.0
literal,Venezuela,"a swell of protest is growing within venezuela 's trade unions at the proposed year-end privatization of the state-owned holding company corporacion venezolana de guayana (cvg) , cvg union leaders said tuesday .",7.0,8.0
metonymic,United States,"the agreement resolved a dispute that arose in june when colombia turned down american's request to operate flights between new york and bogota , a denial that prompted the united states to charge that the colombians were breaking a bilateral aviation agreement and to propose sanctions against one of two colombian airlines , avianca and aces .",29.0,31.0
literal,Michoacan,"radio red quoted local police in the town of tacambaro , michoacan , 80 km (50 miles) south of the state capital morelia , as saying 40 to 50 armed men attacked the convoy .",11.0,12.0
literal,Jordan,police said an unknown number of hijackers were on board the airbus 310 which was hijacked on its way from khartoum to amman in jordan .,24.0,25.0
literal,Switzerland,it will be available in austria and switzerland later this year and in scandanavia and the benelux countries next year .,7.0,8.0
literal,Los Angeles,"meanwhile , in los angeles , dole's running mate , jack kemp , campaigned aggressively for the black vote in an area that was the flashpoint of the 1992 los angeles riots .",3.0,5.0
literal,Kiryat Sefer,the tirade was sparked by israel's announcement on tuesday of plans to expand the jewish settlement of kiryat sefer and its demolishing of a community centre in arab east jerusalem .,17.0,19.0
