ix,sentence,left1,right1,left2,right2,relation
2027,"A cable or rode is the rope , chain , or combination thereof used to connect the anchor to the vessel .",17,18,20,21,Component-Whole12
1742,Comments are parts of the source code disregarded by the compiler .,0,1,5,7,Component-Whole12
6239,"The newsletter of the center informs about new exhibitions , congresses , seminars and conferences .",1,2,8,9,Message-Topic12
5012,"In a decade , neighborhoods are sinking into disrepair .",4,5,8,9,Other
3695,"In contrast , the rotors of the screw compressor and quite a few others rotate in opposite directions .",4,5,8,9,Component-Whole12
3426,This is completed by students using the online system .,4,5,8,9,Instrument-Agency21
6092,The aircraft departed from the illegal airport of Lefkoniko the following day .,1,2,6,7,Entity-Origin12
3521,The storm water is going away from the development .,2,3,8,9,Entity-Origin12
2006,"In the book , the main female character is a woman named Messua who adopts Mowgli .",2,3,7,8,Message-Topic21
7180,"The main cell types are fibroblasts , macrophages and adipocytes (the hypodermis contains 50% of body fat< .",11,12,15,17,Other
2356,"Where a worker works in a factory for more than nine hours in any day or for more than forty-eight hours in any week , he shall be entitled to wages at the rate of twice his ordinary rate of wages .",6,7,11,12,Other
5379,"The origin of the word ""thong"" is from the Old English thwong .",4,5,11,12,Entity-Origin12
6758,The viruses were sent to unsuspecting labs .,1,2,6,7,Entity-Destination12
4373,"The town's most popular sculpture , however , is the high-heeled clique of Bost ladies created by Malmo artist Fred Aberg .",11,12,14,15,Member-Collection21
187,"Thus , in simple words , a tendon attaches a muscle to a bone .",7,8,10,11,Other
3921,"Previous to and after the first Dragon encounter , I had recall of several conversations with a fraternity of different presences .",17,18,20,21,Member-Collection21
1460,Rowan Berry Wine is a classic Ancient method to form a fruit wine based on rowan berries .,11,12,12,13,Entity-Origin21
3003,It is a live audio/visual performance composed of animated monochrome geometrical shapes matching the real size and form of the quadrilateral alluminium modules which form the facade of the building .,26,27,29,30,Component-Whole12
4991,New words are manually added into phone dictionaries .,1,2,7,8,Entity-Destination12
2892,My last post has driven some great discussion around what an open standard means .,7,8,11,13,Message-Topic12
4049,Those who staged the coup appointed a civilian prime minister and a cabinet of civilian technocrats .,12,13,15,16,Member-Collection21
5795,It doesn't hurt either that the understated style is a satisfying departure from the faux French imperial designs .,7,8,17,18,Entity-Origin12
707,Federal dollars flow into Halifax recreational facilities .,1,2,6,7,Entity-Destination12
875,"The picture frame hangs on the wall in my living room , reminding me that I'm the only child of three to be born and live to my parents .",1,2,2,3,Content-Container12
2527,"Last night , wine was brought to the restaurant .",3,4,8,9,Entity-Destination12
675,"More recently , starter manufacturers have attached the flange with a number of capscrews to the main housing thus allowing a finite number of position .",4,5,13,14,Instrument-Agency21
6416,"The government has spended the following 18 months before the elections in a similar vein - shooting a whole lead of Conservative foxes , to extend the metaphor - namely Heathrow and Royal Mail privatisation .",19,20,22,23,Other
3368,"I am currently taking a medication which causes tingling in my hands and feet , but I also have vitamin d deficiency r/t hyperparathyroidism and my calcium is up and down .",5,6,8,9,Cause-Effect12
3750,There is an urgent need for a fraternity of various sections of the people to fight for the rights of the tribals and against the increasing atrocities on them .,7,8,10,11,Member-Collection21
7659,"The pollen is derived from a podocarp/broadleaved forest , which probably . covered both the alluvial flats and sides of the valley .",1,2,7,8,Entity-Origin12
1975,I have placed a new memory card directly into my mobile phone .,5,7,11,12,Entity-Destination12
410,The company has run into a financial problem over the last few years .,1,2,7,8,Other
6811,The Discworld novels contain common themes and motifs that run through the series .,2,3,5,6,Message-Topic12
1844,The book created a picture of social and religious identity .,1,2,9,10,Message-Topic12
6223,The fireman ran into the burning building .,1,2,6,7,Entity-Destination12
4079,"At the time of the incident the front tank was full of molasses , the middle two tanks were empty and the rear tank had just been emptied .",8,9,12,13,Content-Container21
5911,"Thorstein has no choice but to ride to the village of Hof and deal with Thord , the man who struck him with the staff .",18,19,24,25,Instrument-Agency21
6462,"A University of Washington system named Hubble looks for these black holes and maps them on a Web site , providing an ever-changing constellation of the Internet's weak points .",23,24,28,29,Other
5798,Chocolate cake is a dessert popularized at the end of the 19th Century and popular internationally .,0,1,1,2,Entity-Origin21
578,"Alcohol , substance abuse and poverty all lead to child abuse .",0,1,9,11,Cause-Effect12
2514,Details about how Catholic Church dioceses dealt with allegations of child abuse are to emerge within the coming weeks .,5,6,8,9,Other
3312,"A train ran into a truck , leaving 14 dead .",1,2,5,6,Entity-Destination12
7853,There exists a widespread controversy over stem cell research that emanates from the techniques used in the creation and usage of stem cells .,4,5,8,9,Cause-Effect21
5784,It removes the hair to the precise contour of a perfectly shaped eyebrow .,3,4,12,13,Entity-Origin12
7848,"In addition to serving as a fertilizer ingredient , ammonia can also be used directly as a fertilizer by forming a solution with irrigation water , without additional chemical processing .",6,7,7,8,Entity-Origin12
7280,"When the taxi driver stopped his car and got out , the two people ran up the street toward downtown Potsdam .",3,4,6,7,Instrument-Agency21
6388,The band themselves explained the decision with a following statement on their official website .,1,2,9,10,Product-Producer21
6078,"The flu shot was given to young children , pregnant women , and elders first .",1,3,7,8,Entity-Destination12
4603,The chief safety officer announced the Gwinnett-Barrow-Jackson enforcement wave with the unveiling of a replica of new traffic warning signs that have been posted along I-85 .,3,4,11,12,Other
4726,In 1991 the placental cell preparations developed by the company where entered into clinical tests by the health authorities .,5,6,9,10,Product-Producer12
5990,The UN has transported troops into the deep jungle of Cambodia .,4,5,8,9,Entity-Destination12
1520,"Three people who are on the verge of giving up life -- a gangster in trouble with his gang , a doctor who has lost his family , and a woman with a terminal disease -- all meet up by coincidence .",13,14,18,19,Member-Collection12
1180,This material was produced from a microfilm copy of the original document .,1,2,7,8,Entity-Origin12
7640,Hundreds of thousands in central China are sleeping outdoors for fear of more tremors after Saturday's earthquake .,13,14,16,17,Cause-Effect21
650,Clinicians entered the patients into randomised controlled trials .,3,4,7,8,Other
4944,This consensus paper describes the essential skills that clinicians need to help persons who are experiencing grief after the death of a loved one .,16,17,19,20,Cause-Effect21
5144,There was a whole cohort of young professionals working to establish themselves .,4,5,7,8,Member-Collection21
2346,"The predominant mixing action is to shear the mixing compound between the rotors of the mixer , and the distance between the rotors is less than the rotor diameter .",12,13,15,16,Component-Whole12
2682,The report is about the regular road user and the law .,6,7,7,8,Instrument-Agency12
1462,"Teetotallers zip over the Causeway in the midst of a maze of sweaty congestion after a day pounding keyboards and missing deadlines , barely noticing the scoop of pelicans floating by and the kangaroos that call the secluded area home .",26,27,28,29,Member-Collection21
1104,An emerging bratpack of young female pornographers is storming the market and challenging lads' magazines such as FHM and Esquire . .,2,3,6,7,Member-Collection21
2182,"The Code applies to all sponsorship related to corporate image , brands , products , services activities or events of any kind .",5,6,8,10,Other
1150,"The slide system consists of a slideway and a sliding element , whereas the slide system is connected to at least one piston and the crank of the shaft .",25,26,28,29,Component-Whole12
847,It also offers a concise guide to the historical documentary resources .,5,6,10,11,Message-Topic12
1194,Leader Moammar Gadhafi's son has been handed over to the Libyan embassy in Switzerland .,3,4,11,12,Entity-Destination12
2497,We put fairness into copyright use .,2,3,4,6,Other
1598,It is in the hours of darkness that the plant builds up the oxidase that is to call out the signal that the flower has run its full course .,9,10,13,14,Product-Producer21
7033,"We are aware that acne or pimples are caused by hormonal imbalance , improper skin care or bad eating habits .",4,5,10,12,Cause-Effect21
5444,The builder who has mortgaged the land to raise money will have to spell this out in all advertisements and brochures .,1,2,6,7,Other
741,Three shark attacks in 24 hours threw local people into panic .,8,9,10,11,Other
3650,"Under a giant silk cocoon created by an army of caterpillars , the shape of a Honda is just about visible .",4,5,10,11,Product-Producer12
50,HipHop appropriates the symbols of a consumer society : oversized diamond colliers are worn .,10,11,11,12,Other
643,"I too , get a headache from wine , and was always told that it was the sulfites .",5,6,7,8,Cause-Effect21
5815,"The experiments indicated that the insulin content of the pancreas of the normal rabbit averaged one-half unit of ""Lilly"" insulin .",9,10,13,14,Component-Whole12
861,The shop machined the part with a 1 .25 inch diameter .,1,2,10,11,Other
6558,"The focus of any course is , however , art therapy theory .",4,5,11,12,Message-Topic12
5555,The pictorial demonstration below shows how to put your skirt waistband on after you have sewn your zipper and how to join and serge the skirt side seams .,9,10,10,11,Component-Whole21
6626,The study is making a valuable contribution to determining the levels of sustainable tourism in this country .,1,2,10,11,Other
3863,"The lid of the pink granite sarcophagus is decorated with Isis and Nephthys , which were meant to serve as guardians over the body .",1,2,6,7,Component-Whole12
4757,Pilot information needs were investigated in a web-based survey .,2,3,8,9,Message-Topic21
1704,The infection came from a wound .,1,2,5,6,Cause-Effect21
6124,The most specific prophecies are on the topic of the rise and fall of leaders and organizations .,3,4,10,11,Message-Topic12
1078,Disposed perchlorate-based products have released perchlorate into the soil .,5,6,8,9,Entity-Destination12
5969,"The damage in Washington was so much less than the damage caused by the 1994 Northridge earthquake , despite that their magnitudes were so similar-- 6 .8 vs . 6 .7 .",10,11,16,17,Cause-Effect21
2786,"The angry driver then demonstrated his displeasure by speeding around the other vehicle , cutting the other driver off .",2,3,12,13,Other
789,"This cabin has 3 beautifully decorated bedrooms< one on each level featuring custom made log beds , each with its own bathroom .",1,2,6,7,Component-Whole21
5752,Following is a statement released by the lawyers acting on behalf of Humayra Abedin .,3,4,7,8,Product-Producer12
882,His speech outlined urgent measures for stimulating the economy .,1,2,4,5,Message-Topic12
1730,In this section are horses born in Tori stud that have made Tori breed famous and maintained that fame .,4,5,8,9,Other
5939,"The scientific , yet understandable reasons of why the L*Bo Aid is so effective in eliminating and preventing elbow pain due to epicondylitis commonly referred to as ""Tennis Elbow"" and tendinitis .",18,20,30,31,Cause-Effect21
3092,Billions of euro are invested into nanotechnology in Europe .,0,1,6,7,Entity-Destination12
267,"When you strike someone with a bottle full of carbonated beverage , apparently a vacuum is created and then quickly refills , which is somehow capable of breaking the glass .",6,7,9,11,Content-Container21
3838,The company shipped the cargo to the factory in China .,4,5,7,8,Entity-Destination12
5176,"The steam caused a backpressure on the VTD , resulting in the rupture disc opening .",1,2,4,5,Cause-Effect12
7927,This durable short sleeve crew neck tee shirt is made of preshrunk cotton to minimize shrinkage after washing .,15,16,17,18,Cause-Effect21
6557,"Vinegar flies are capable of living off alcohol fumes , alas , so it is enough toput out a bottle with attractant in it .",19,20,21,22,Content-Container21
7305,We continue to see progress toward a world free of the daily terror of antipersonnel landmines .,12,13,15,16,Cause-Effect21
4351,The inquiry was confined to investigating marine safety issues .,1,2,7,9,Message-Topic12
2232,"He had a huge zoo of animals , savage beasts from the far parts of the world , but that wasn't enough for him .",4,5,6,7,Member-Collection21
2945,This train</ windows are elegantly curtained .,1,2,2,3,Component-Whole21
6993,These children have given up everything - all they own now is a suitcase with clothes in it .,13,14,15,16,Content-Container21
527,My passport was in a trunk under my bed .,1,2,5,6,Content-Container12
7443,This view from the inside is from the bridge that spans Atherton Street .,1,2,8,9,Other
3893,Becker & Castillo (1990) compared the root systems of three species of shrub or treelet with saplings of three tree species in the forest on Barro Colorado .,20,21,23,24,Other
5493,Typhoon was a dapple-gray gelding with small splashes of brown around his nuzzle and his hind end .,4,5,12,13,Component-Whole21
255,Tobia made a stunning revelation in a phone call in September 2002 .,4,5,7,9,Message-Topic21
5631,The71-year-old man has already converted a room in the basement into an office .,1,2,12,13,Other
622,"During the trial , the prosecution presented ""pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash .""",20,21,25,26,Cause-Effect21
7505,I'm running a charity that helps the poorest school libraries in the U .S .,3,4,9,10,Other
2996,The government is committed to bring art to the community .,6,7,9,10,Entity-Destination12
7128,These Hebrew histories tell the story of a people's upward growth from savagery .,10,11,12,13,Other
4669,"The ring was in a glass of champagne , and all of hubby's family was present .",1,2,5,6,Content-Container12
2928,In the bowels of the building he showed me the stage equipment which has been going flat out virtually every day for the last 35 years .,2,3,5,6,Component-Whole12
2836,This photograph shows the vortices created by the water strider's legs as it moves across the water .,4,5,10,11,Cause-Effect21
266,"The state has assembled a $230 million incentive package to lure the project , which could mean as many as 9000 jobs .",1,2,8,9,Other
6425,"There are actual world records for the kookiest hat , the longest time a message was in a bottle at sea , and the tallest scarecrow .",14,15,18,19,Content-Container12
3363,"The dentate gyrus is a part of the hippocampus , the main memory structure , and has been shown to play a role in the forming of new memories .",2,3,8,9,Component-Whole12
4448,The paleogene horizons have migrated into the upthrown basement blocks from adjacent sedimentary horizons .,1,3,8,10,Entity-Destination12
7566,The patient had crushed a pencil with this toe about 30 years previously .,1,2,8,9,Component-Whole12
858,The great news is that germs causing recreational water illnesses are killed by chlorine .,5,6,9,10,Cause-Effect12
7219,Until 1729 the building contained only the grammar school .,3,4,7,9,Other
3842,"Gorgol brought in your cavvy of mounts four days ago , took his bag , and rode off .",4,5,6,7,Member-Collection21
4823,Ita s hard for me to fathom the craziness that has been caused by the H1N1 virus .,8,9,16,17,Cause-Effect21
5252,"Parsley , French , Koomjian and two other members of the group scaled the tree with a rope .",8,9,17,18,Instrument-Agency21
460,Flowers are carried into the chapel .,0,1,5,6,Entity-Destination12
5977,I even have a friend who cooks the cans in a pressure cooker because she can't be bothered cooking them on the stove for 3 hours .,4,5,12,13,Instrument-Agency21
2217,New plans are outlined for another wind farm in north Devon of no more than four turbines .,1,2,7,8,Other
4428,"But among the heroin addicts especially , there is frequently a very severe depression , and depression is one of the main causes of suicide .",16,17,24,25,Cause-Effect12
2752,"A Tamil man , who escaped from an LTTE rebel-held area following heavy fighting , looks on as he arrives at a temporary refugee camp in Vavuniya .",2,3,10,11,Entity-Origin12
7855,"Further left a boy is fighting a peacock with a stick , and to the right a boy is killing an attacking goat with a spear .",3,4,10,11,Instrument-Agency21
1025,"When a bottle full of honey was weighed , its weight was 1 kilogram .",2,3,5,6,Content-Container21
192,This is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn .,12,13,22,23,Entity-Destination12
658,The colourless or nearly colourless liquor amnii then was put into an ounce phial .,5,7,13,14,Entity-Destination12
6956,The spotter sweeps the surrounding countryside with a powerful hand-held lamp with a tightly focused beam .,1,2,10,11,Instrument-Agency21
472,Two broad topics emerging from the literature on fiscal forecasting are reviewed .,2,3,6,7,Entity-Origin12
4739,"As part of his wicked plan , Pete promotes Mickey and his pals into the legion of musketeers and assigns them to guard Minnie .",15,16,17,18,Member-Collection21
946,The brothers wrote this movie after coming up with the characters .,1,2,4,5,Product-Producer21
1216,The meeting was postponed to a later date .,1,2,6,8,Entity-Destination12
7946,The rap star was apprehended at John Wayne Airport late last month and his truncheon was confiscated by police .,14,15,18,19,Other
4082,The motor unit is housed inside a caisson .,2,3,7,8,Content-Container12
4955,The pan-and-scan area (lighter shaded) is what is shown when your television screen is full .,11,12,12,13,Component-Whole21
4727,"As longtime publishers in the healthcare industry , we , too , are skeptical about the glut of startups in this area .",16,17,18,19,Other
2171,The presentation generated debate and there was general discussion on how journalists can better equip themselves to handle the challenges .,1,2,3,4,Cause-Effect12
4388,The house is going into foreclosure .,1,2,5,6,Other
7292,"Contents of the scrapbooks included pictures cut from magazines and newspapers , stories , poems and anecdotes as well as photographs .",3,4,5,6,Member-Collection21
6180,The outsiders are moving into the pole .,1,2,6,7,Entity-Destination12
2939,"Our director is a member of the AEA , NAFSA , and EAIE organizations .",1,2,13,14,Member-Collection12
7095,"Relena's head was bowed , though the heat was radiating from the young princess in waves .",7,8,13,14,Cause-Effect21
6721,A textile mill is a factory for making textiles .,1,2,2,3,Product-Producer12
929,The conference was a part of the Danish kortdage and was arranged by Geoforum in cooperation with GI Norden .,1,2,8,9,Component-Whole12
7919,This is an overview of the viewer from a developer</ perspective .,9,10,10,11,Other
5658,The chemical reaction in the water caused a bubbling affect on the surface .,2,3,9,10,Cause-Effect12
6496,They are all in on it and the same people who caused the destruction of the economy are still running the show so they can keep us down and buy up the country cheap .,9,10,13,14,Cause-Effect12
470,Sometimes the best blogging is going on well away from the most visible places .,3,4,13,14,Other
4210,"In the nineteenth century , modern manholes and the modern manhole cover were developed .",10,11,11,12,Component-Whole21
7255,The monitor provides a quarterly report to the Chapter (or NEC) .,1,2,5,6,Product-Producer21
4613,"Because the disorders are caused by defective lysosomal enzymes , with the result being lysosomal accumulation of pathway intermediates , these are often referred to as lysosomal storage diseases .",2,3,8,9,Cause-Effect21
4239,The storm resulted in 31 deaths and 2 .5 million dollars damage .,1,2,11,12,Cause-Effect12
3582,Ground resonance occurs while the helicopter is on the ground with rotors turning; it will not happen in flight .,5,6,11,12,Component-Whole21
3451,This article lists people whose artwork has been featured on stamps of the United States .,5,6,10,11,Message-Topic21
5591,"When the police raid the catacombs , Shannyn's character hits her head while fleeing only to wake up alone in the maze of skulls and bones .",21,22,23,24,Other
1095,The clay model was in a jar wrapped in a Daily Mirror from 1947 .,2,3,6,7,Content-Container12
4877,The tabernacle was inside a rectangular court whose entrance faced the East .,1,2,6,7,Other
4540,"The Police has beaten him up , poured water into his ears and nose , and stuffed a shoe in his mouth .",8,9,11,12,Entity-Destination12
3575,"Visual observations from space reveal a number of fascinating natural phenomena of interest to meteorologists and aeronomists , such as aurorae , airglow , aerosol layers , lightning , and atmospheric refraction effects .",1,2,3,4,Other
5938,I took a look at the way and in what direction the door of the dryer swings open since there was limited space in my laundry room .,12,13,15,16,Component-Whole12
2038,The initiative was outlined in a speech delivered by Saudi Crown Prince Abdullah on Wednesday .,1,2,6,7,Message-Topic21
1292,The violinist produces sound by drawing a bow across one or more strings (which may be stopped by the fingers of the other hand) .,1,2,7,8,Instrument-Agency21
906,"He is also a work of fiction , a software program written by a bio-scientist from St Petersburg and a finalist in a contest to find the world's first thinking computer , staged yesterday at Reading University .",10,11,14,15,Product-Producer12
6145,"Ching survives by latching on to a prostitute , played by Maggie Cheung , while Fung works his way in a circle of robbers .",21,22,23,24,Member-Collection21
2613,"It gets a little bit ""chicken first or egg first"" on examination but the primary truth is that the attacks are caused by the fear of the attacks themselve .",19,20,24,25,Cause-Effect21
2696,"I first tried this comforting , pork stew a year ago and it is unbelievably good .",6,7,7,8,Entity-Origin21
10,The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial .,12,13,20,21,Entity-Destination12
5772,"The purpose of the chapter is to create a picture of palliative care today by presenting its definition , history , philosophy . objectives , and standards of care .",4,5,11,13,Message-Topic12
6615,The source data was generated from an ultrasound reflection mode simulation .,2,3,10,11,Entity-Origin12
977,This is a tattoo design an artist drew up .,4,5,6,7,Product-Producer12
3463,"The stories also explore cultural norms , social norms , and other aspects of Vietnamese society .",1,2,4,6,Message-Topic12
6538,"Here is Jose Mojica Marins , the popular Coffin Joe , a filmmaker who invented a cinema of total grossness .",12,13,16,17,Product-Producer21
7992,State citizens created the states who created the federal government who created federal citizens .,1,2,4,5,Product-Producer21
5297,The author examines some issues connected to religious freedom .,4,5,8,9,Other
24,His intellectually engaging books and essays remain pertinent to illuminating contemporary history .,5,6,11,12,Other
5906,"Even though the network's programming covers the political process , the network receives no funding from the government .",4,5,7,9,Message-Topic12
2083,This delightful tale humorously makes the point that the greatest risk in life may be in not taking one .,2,3,10,11,Message-Topic12
5780,They learned that some herbs and flowers planted in the garden help to control pests .,4,5,10,11,Component-Whole12
6858,"For a beginner , the layout of piano keys is hard to recognize on a piano keyboard .",15,16,16,17,Component-Whole21
3936,The plane took off from an airfield a mile away from where it crashed .,1,2,6,7,Entity-Origin12
2612,"State and local implementation of the $787 billion package has degenerated into a scrimmage of competing agendas among governors and legislatures , state capitals and city halls , and even between neighboring municipalities .",13,14,16,17,Other
1428,The views expressed in the article are from the author and are not shared by Nestle .,5,6,9,10,Product-Producer12
7744,The batteries are kept in a phone .,1,2,6,7,Component-Whole12
5387,Watching that 'apology' from the wunch of senior bankers was vomit inducing .,5,6,8,9,Member-Collection21
2401,"Another shows a worker with a cigarette dangling from his mouth , a lunch box popping out from under a well-muscled arm .",3,4,6,7,Instrument-Agency21
3082,The substance is injected into the damaged area .,1,2,7,8,Entity-Destination12
7221,"Suddenly , a man approached me from nowhere and stuck a bag of candy in my face .",11,12,16,17,Entity-Destination12
3021,"13 , students were evacuated from Conrad Residence for approximately 15 minutes after burnt food in one of the kitchens set off the fire alarm .",13,15,24,25,Cause-Effect12
3721,The cheddar cheese in the pie crust of this apple pie is a stroke of genius .,5,6,6,7,Component-Whole21
2757,The ice cores were shipped to clean labs for examination .,1,3,7,8,Entity-Destination12
3460,Electrolysis of the resulting mixture caused the reduction of the aluminum ions in the Al2O3 .,0,1,7,8,Cause-Effect12
166,The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere .,1,2,8,9,Cause-Effect21
2451,"The current Swiss Confederation was created in 1802 as a confederation of various multi-ethnic cantons , which all have their own characteristics .",10,11,14,15,Member-Collection21
7086,For a few more years the surplus is generated by the excess of Social Security tax revenue over benefits paid to today's elderly and disabled .,6,7,11,12,Cause-Effect21
867,That container was put inside a vault provided by Stark Memorial Funeral Home .,1,2,6,7,Entity-Destination12
1985,The power indicator of the transmitter and headphone then went off .,2,3,5,6,Component-Whole12
2154,"But largely they were of the rose kind , and , in the bloomy ring of wedded dames , sighed to in canzons , ' fair friends"" of knight and poet , but saw themselves a little further on .",14,15,17,18,Member-Collection21
1029,"A best-selling book by an anonymous CIA official assures us that our ""survival"" is at stake .",2,3,7,8,Product-Producer12
2930,"A Philippine Airforce aerial shot shows residents standing on a rooftop to escape the floodwaters caused by continuous rains brought on by Typhoon Ketsana in Marikina city , metro Manila September 27 , 2009 .",14,15,18,19,Cause-Effect21
1473,"One of the types of tissue that makes up bone is the mineralized osseous tissue , also called bone tissue , that gives it rigidity and a honeycomb-like three-dimensional internal structure .",3,4,9,10,Other
7403,It is best to use bold flavors in herb butter .,8,9,9,10,Other
2618,"Because sports broadcast reports on-going events within a constrained physical situation , contextualized reference is extremely high in these texts .",1,3,4,6,Message-Topic12
3087,Stroke patients have been entered into hospital for neuroprotection .,1,2,6,7,Entity-Destination12
7201,"It makes the drive more comfortable by intelligently seeking out what the passengers inside the car prefer in terms of temperature , music , lighting etc .",12,13,15,16,Other
1193,144 of those apartments have been personally designed by Giorgio Armani and the tower also boasts the designer</ first hotel .,17,18,19,20,Product-Producer21
5456,"In reality , acne is caused by bacteria and oil on the skin .",3,4,7,8,Cause-Effect21
6457,The clock signal was generated from an external cavity semiconductor laser .,2,3,10,11,Cause-Effect21
7035,"By contrast , the robot lets the operator just queue raw stock and walk away , returning later to pick up completed parts in the unload queue .",4,5,7,8,Instrument-Agency12
61,Both his feet have been moving into the ball .,2,3,8,9,Entity-Destination12
354,"This has made it much richer , rather like fried bread and altogether different from the crisp rectangles produced by the modern cook .",17,18,22,23,Product-Producer12
1154,The book asserts the notion that men and women are as different as beings from other planets .,1,2,4,5,Message-Topic12
5391,Eggs come out of the female's body through the ovipositor .,0,1,6,7,Entity-Origin12
35,The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond .,16,17,19,21,Component-Whole12
2432,The pollution from animal factories is also destroying parts of the world's oceans .,1,2,4,5,Cause-Effect21
3283,"Thus , the interpretation of a battery of psychological tests depends on who does the interpreting .",6,7,9,10,Member-Collection21
5331,The corporate regulator has been dragged into undertaker's inquiry .,2,3,8,9,Other
6568,"Throughout the past decade , Monsanto has been re-making itself as a seed and biotech company , as opposed to one focused on agrochemicals .",12,13,15,16,Product-Producer12
6907,None of the answers just popped out of the computer .,3,4,9,10,Entity-Origin12
5336,"The merchant facilitates attacks using fake or modified terminals , towards tapping both the financial data stored on the cards as well as the pin of the cardsholders .",19,20,24,25,Other
5856,"By the 7th century AD , beer was also being produced by European monasteries .",6,7,13,14,Product-Producer12
1356,The priority of hoisting locations depends on the rig of the vessel .,8,9,11,12,Component-Whole12
2651,"Celiac disease (CD) is an inflammatory disorder of the upper small intestine triggered by the ingestion of wheat , rye , barley , and possibly oat products .",1,2,15,16,Cause-Effect21
3673,The handle of the stick was covered with plastic material for more durability (Figure - 3) .,1,2,4,5,Component-Whole12
5562,Ten years ago I started bringing a suitcase full of odd props to schools and libraries all over the world .,7,8,11,12,Content-Container21
7214,The device uses the newest personal antenna technology .,1,2,7,8,Instrument-Agency21
5664,The results are often displayed in charts or written as narratives .,1,2,6,7,Component-Whole21
6764,77793 civilians have arrived into the government controlled areas within the last two days .,1,2,8,9,Entity-Destination12
6392,The world's largest aid organisation founded by a woman celebrates 90th anniversary .,4,5,8,9,Product-Producer12
5349,Entering a community of minds is conceptualized as a theoretical framework for understanding social cognitive development during the preschool years .,2,3,4,5,Member-Collection21
4529,"The recipes are culled from various restaurant chefs , magazines and Brother Victor-Antoine d'Avila-Latourrette , a monk and cookbook author .",16,17,19,20,Other
2582,"Both in Malta and Jamaica , the couple made many friends by immersing themselves in the local culture .",7,8,10,11,Other
7728,Everybody in the region experienced the tremors after midnight .,6,7,8,9,Other
3232,The flag randomly popped out of an enemy's corpse .,1,2,8,9,Entity-Origin12
4198,The superb location of this fortress allows us a great view over the surrounding mountains .,2,3,5,6,Other
3659,The beautiful outside of the store is complementary to the local surroundings and is designed to be a store of the community .,2,3,5,6,Other
5551,"The author of the letter , Francis Pawlett , wrote of a delicious cheese produced by Cooper Thornhill , the well-known landlord of the Bull Inn .",13,14,21,22,Product-Producer12
